date,vehicle_category,manufacturer,registrations
2023-01-01,2W,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),369.0
2023-01-01,2W,GALVANIC AUTO PVT LTD,744.0
2023-01-01,2W,GAMZEN PLAST PVT LTD,385.0
2023-01-01,2W,GANESH AGRO INDUSTRIES,702.0
2023-01-01,2W,GARIMA INDUSTRIES,405.0
2023-01-01,2W,GAURI AUTO INDIA PVT. LTD,374.0
2023-01-01,2W,GAUTAM AGRO INDUSTRIES,385.0
2023-01-01,2W,GAYATRI AGRO INDUSTRIES,398.0
2023-01-01,2W,GAYATRI ELECTRIC VEHICLES PVT LTD,6275.0
2023-01-01,2W,GENERAL MOTORS INDIA PVT LTD,380.0
2023-01-01,2W,GIAN AGRO INDUSTRIES,410.0
2023-01-01,2W,GILL AGRICULTURE WORKS,467.0
2023-01-01,2W,GILL AGROTECH,414.0
2023-01-01,2W,GILL MECHANICAL WORKS,383.0
2023-01-01,2W,GILL PREET AGRO INDUSTRIES,384.0
2023-01-01,2W,GILLPREETAGRO INDUSTRIES,449.0
2023-01-01,2W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,1803.0
2023-01-01,2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,420.0
2023-01-01,2W,GOBIND AGRO INDUSTRIES,552.0
2023-01-01,2W,GOBIND INDUSTRIES PVT LTD,399.0
2023-01-01,2W,GOBIND MOTOR GARAGE,392.0
2023-01-01,2W,GODAWARI ELECTRIC MOTORS PVT LTD,939.0
2023-01-01,2W,GODAWARI TECHNO SOLUTIONS PVT LTD,540.0
2023-01-01,2W,GODREJ & BOYCE MFG. CO. LTD,842.0
2023-01-01,2W,GODREJ AND BOYCE MFG CO LTD,453.0
2023-01-01,2W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,1319.0
2023-01-01,2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),538.0
2023-01-01,2W,GOGORO INDIA PVT LTD,433.0
2023-01-01,2W,GOLD HOFER,432.0
2023-01-01,2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),401.0
2023-01-01,2W,GOLDHOFER INDIA LLP,423.0
2023-01-01,2W,"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",412.0
2023-01-01,2W,GOPAL AUTO MOTORS PVT LTD,3391.0
2023-01-01,2W,GOPAL ENGG. WORKS,408.0
2023-01-01,2W,"GOPAL ENGINEERING, BALASORE",427.0
2023-01-01,2W,GOREEN E-MOBILITY PVT LTD,6486.0
2023-01-01,2W,GOYAL AGRO INDUSTRIES,419.0
2023-01-01,2W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,680.0
2023-01-01,2W,GRD MOTORS,7233.0
